customer,predicted_intent,reply,proxy_quality_score
"@115850 WORST ! PATHETIC! RIDICULOUS ! LETHARGIC SERVICE I EVER RECEIVED!  You guys are now the cheapest online site thats the image right now! completely messed with my order, paid huge amount and gained a big loss",refund_return,We'd be happy to look into this. Please send us a DM with your order details so we can check the return or refund status.,1.0
Requesting @115850 sellers not to send parcels through @120543 . Even After 10 days of dispatch unable to track the package EQ947108945IN,order_status,"Sorry for the wait. Please check your order details for the current carrier and delivery status, and send us a DM if you need further help.",1.0
"@AmazonHelp hi guys, I sent a support email out for amazon seller services, I don't want to wait for something that should be a simple fix",seller_issue,We'd like to look into the seller-related concern. Please send us a DM with the relevant order details.,1.0
"@AmazonHelp Oui, mais on me demande d'envoyer un fax avec des infos (qui utilise un fax en 2017😂) je voulais savoir si y a pas une adresse e-mail pour prendre en charge mon problème ?",promotion,We'd be happy to look into the promotion or offer you're asking about. Please send us a DM with the relevant details.,1.0
@AmazonHelp $15 US GiftCard... how can I use this In the UK?,gift_card,We'd be happy to help with your gift card concern. Please send us a DM with the relevant details so we can look into it.,1.0
@amazonhelp hi i need help immediately someone has changed my password and spent £225 on my account,account_login,We'd like to help with your account issue. Please send us a DM so we can guide you through the appropriate account-support steps.,1.0
"@AmazonHelp I am so angry. The second package is already delayed and I *must* have this one today. 2 orders, 2 delays. What’s even the point of prime???",subscription_prime,We'd be happy to look into your Prime or membership concern. Please send us a DM with the relevant account details.,1.0
@AmazonHelp Confirmed: Order for Surf E..&amp; 1 other item is successfully placed &amp; you'll get it by 12-Dec.Track:https://t.co/31yi7oJcmE or give missed call to 180030001001. https://t.co/uiYnF8PgtL,product_issue,Sorry you're having trouble with the item. Please send us a DM with your order details so we can look into the issue.,1.0
@115850 It would've been better if you cross-check the product before it reaches the consumer. I'm fed up of couriering the package all the way back to you. Got a defective Sony headphones. 😔,order_status,"Sorry for the wait. Please check your order details for the current carrier and delivery status, and send us a DM if you need further help.",1.0
"@AmazonHelp Tomorrow the 26th*, but the package has yet to receive a tracking number.",order_status,"Sorry for the wait. Please check your order details for the current carrier and delivery status, and send us a DM if you need further help.",1.0
@AmazonHelp My item was damaged during shipping because it was mailed in a bubble envelope. How will you help me?,order_status,"Sorry for the wait. Please check your order details for the current carrier and delivery status, and send us a DM if you need further help.",1.0
"@AmazonHelp Could I please ask why the on day delivery option is still on the website in this case? It seems to be rather misleading to customers. Also, I do not remember being informed that such delays would occur when I purchased my membership.",delivery_problem,Sorry for the delivery trouble. Please send us a DM with your order details so we can look into the delivery status further.,1.0
@115850 Delivered Broken Product ! @118702  never had issue ! Quality is Deteriorated by Amazon https://t.co/LVGARcMef4,product_issue,Sorry you're having trouble with the item. Please send us a DM with your order details so we can look into the issue.,1.0
@115821 why was I made to think I had signed up for amazon student prime just to find I have been charged for normal version?,payment_billing,We'd like to look into this with you. Please send us a DM with the relevant order or payment details so the issue can be reviewed securely.,1.0
"@115850 order BPL LED TV . seller send me fake tracking ID.  my all friends got same tracking ID who place BPL LED TV order , its prepaid order . here going a big fraud by your seller. please look in matter &amp; deliver our LED TV. alredy mail seller but no responce recived.",seller_issue,We'd like to look into the seller-related concern. Please send us a DM with the relevant order details.,1.0
@AmazonHelp If that wasn't an option why did they offer it?? I've been waiting for this now since 6th Oct!! I'm so disappointed with the service!,account_login,We'd like to help with your account issue. Please send us a DM so we can guide you through the appropriate account-support steps.,1.0
Hi @115830-can you help?i have not received refund 4 a product which was sent back as I cud not collect it.seller wants me to speak to U,refund_return,We'd be happy to look into this. Please send us a DM with your order details so we can check the return or refund status.,1.0
"@115830 If your delivery drivers can't honour Nominated day delivery then don't offer it. Apparently, they couldn't find our address - I can see how finding a four story block of 60 flats would be difficult. #whereswally #heworksforamazon",delivery_problem,Sorry for the delivery trouble. Please send us a DM with your order details so we can look into the delivery status further.,1.0
"@AmazonHelp hi, have tried to cancel an order which hasn't been delivered but return hasn't been confirmed? What can I do?",cancel_order,We'll help you check the cancellation options. Please send us a DM with your order details so we can look into this.,1.0
@115850 @127187 @132981 Is been more than a week and they are ducking on tickets! Selected ASIN mentioned was resolved but still image violated guidelines. Have a look at my another tweet Best Seller cannot be added to product images &amp; they keep adding year after year :( It sucks https://t.co/jcns5Plegz,product_issue,Sorry you're having trouble with the item. Please send us a DM with your order details so we can look into the issue.,1.0
