tweet_id,customer_text,historical_reply
2176486,@AmazonHelp Really tired of wasting time here now,@139232 I get your disappointment. Kindly share the details using the link provided earlier and we will help you. ^SS
1077753,@AmazonHelp November 11,@374252 I know how frustrating this can be. Who is the carrier? ^BA
2776693,@115850 I have called you guys thrice and got a pickup date every time. Your automated call system is not allowing me to reach a customer care representative anymore. Disgusting in terms of ease of acess now. What is wrong with you now??,"@775853 We've responded to you here: https://t.co/NLY2lghUtY, kindly check. ^MO"
1509866,"Hey @115821 it's been twice that you ""atempt"" yo deliver my package and fail. What's going on?!?","@470443 Hello, I am very sorry to hear this. Who is the carrier delivering the parcel to you ? We will try to help if possible. ^CR"
2832911,Dear @115830 please stop harassing me with an email ever 5 minutes regarding#blackfriday #CyberMonday2017,"@788671 Hello Ann, sorry for the frustration. You can change your email preferences here: https://t.co/xgfwQhe0II ^TE"
2198968,"@AmazonHelp nope, no email","@643177 We'd to check available options for you. If you have a moment, please contact us here: https://t.co/JzP7hlA23B. ^LH"
1425684,Pido una simple cosa y se equivocan en el envío... finalmente me lo entregan y viene roto... ¬¬ ¿Qué onda @116875 ? Antes eras chido :(,"@451213 Hola Berns, sentimos lo sucedido. Puedes verificar las opciones disponibles aquí: https://t.co/D4F4TlZ29f ^JD"
587985,@AmazonHelp I have screen grabs I can send via messaging if you follow me.,"@258937 Thank you Jeff, We would like for a member of our team to investigate the matter further, could you please fill this form for us to investigate: https://t.co/tkLCr7DNil 

- Ben D"
505921,@AmazonHelp Extremley disappointed that an ‘expedited’ delivery has an estimate of 14/15 December despite item being in stock. Why can I not cancel??,@236049 Some items require additional processing before they're able to be shipped out. We're happy to take a closer look into all available options with this order here: https://t.co/JzP7hlA23B ^LI
2936581,@115830 Yes to no avail. Was told that they’d oversold and couldn’t fill their orders of the kindle fire 10” HD and could refund us. Argos has them and we chose to go with Amazon but now they are out of stock too!,"@811812 I can appreciate your frustration with this. Unfortunately if an item is not available in stock, we can't replace it. Has the refund been issued for you already? ^BZ"
2394431,Starting to wonder why I’m paying £80 a year for @115830 next day delivery when my items never seem to come next day 😡,@689330 Sorry to hear of the delay with your order. What date did you receive on your order confirmation email? ^ES
1572193,"@AmazonHelp Does ""from"" mean my current e-mail address? As I said, the email used to create the account no longer exists",@484670 Please use the link provided to give us a call so it can be discussed in real-time. ^WJ
2812810,@AmazonHelp Yeah I had 2 items that should have been delivered today. But my USPS is crap and holds my packages too long before delivering. Everything Ive ordered from anywhere has taken longer than expected to be delivered to me.,@784303 I'm sorry for the delay on your order! What's the most recent reading on your orders tracking information: https://t.co/3kQwjObgTc? ^GM
1791734,Cuando un viernes por la tarde decides cena marroquí de fin de semana y el sábado por la mañana tienes un #Tajine en casa @115821 ❤️ https://t.co/JNKS03n7Mt,"@538174 Inés, que emoción saber que vas a poder cenar como querías 😊 Corrimos para entregarte tu pedido, aquí te dejamos una muestra 😋 ^AV https://t.co/DrAJcunlZn"
16418,@AmazonHelp And there was no indication that they had re-attempted delivery,@119617 Who is the courier shown on the tracking info? Have you contacted the courier? ^LJ
2909170,"@AmazonHelp Damit mir wieder gesagt wird, dass ich den Stick auf Werkseinstellung zurücksetzen soll? Es ist nichts installiert, kein Sideload usw.",@271129 Nach Rückmeldung leiten wir dein Anliegen gerne an unsere Spezialisten zur Prüfung weiter. ^SI
2386089,"@AmazonHelp No, but regardless, it's not the weekend!",@687666 Are you able to confirm which carrier is delivering the item to you ? We will certainly try to help if possible. ^CR
1601352,"@AmazonHelp Ebenfalls gestern getan,keine Reaktion bisher meine ich.",@467077 Hast du dich wirklich über den Link von UK gemeldet und das Formular ausgefüllt? ^AK
651436,"HOY SÍ! a las 18:30H #gameplay de Yomawari ^o^ gracias @116928 por ser tan rápidos. 
PD: el otro juego para más adelante ;) https://t.co/7T3ier7oMK",@274938 Woow que empieze la acción 😎🎮.Mira nosotros también estamos disfrutando ^MB https://t.co/HLWTavHDeT
1398876,@115821 @118923 Lo que pedí https://t.co/LljSdtJZfo,@445302 Lamento esta experiencia. Recuerda que puedes reportar cualquier incidente con Servicio al Cliente. ^VL
2761710,"@AmazonHelp No, puesto que leyendo críticas de otros usuarios veo que no sirve de nada. La última vez que tuve problemas con esta compañía aún entregaron el paquete, aunque fuera un sábado, ignorando así el “no quiero en entregas los sabados”. Nunca he tenido problemas con otras compañías...","@772656 Cada caso es diferente, Laura. Te recomendamos seguir las instrucciones que la misma página web te da para resolver la incidencia con la entrega del paquete. Saludos, ^AR"
2195575,"@AmazonHelp Merci pour vos réponses. Je l'ai fait, ma commande est perdue. Je vais passer une bonne nuit 👍🏼",@642398 😓Le service client ne vous a fourni aucun détail/explication ou solution concernant la livraison de votre colis ?^FT
2032940,"@116316 Hallo, I cannot get student prime membership because of technical problems. Thank you","@601141 Hi, please contact our customer service via this link: https://t.co/Su5eCHNYlH Have a nice day! Regards ^AK"
233805,amazonで買って今日届きました！！！すぐにiPhoneに入れました！！ファイルも最高でテンション上がる！ https://t.co/tdk9uBo5qs,@171658 |´-`)ﾁﾗｯ　Amazonをご利用いただきありがとうございました🙇‍♀️　HM
798783,"Hey @115850 , I wish you wouldn’t write the words guaranteed delivery ever. I don’t see any reason why I pay to be a prime user !",@310417 We're sorry about any miss on your order. Could you please elaborate on what went wrong so we could check? ^HK
1138333,@AmazonHelp Ça va être compliqué de livrer aujourd’hui si c’est toujours pas expédié non ? https://t.co/lKnwXWLPg8,"@133745 Bonsoir, votre colis est déjà préparé et en attente d'être pris en charge par un transporteur. ^BR"
2474957,"@AmazonHelp hi, fake email doing the rounds. Awful grammar and spelling. I've deleted it https://t.co/A9iWn7JcbN",@420286 Thanks for flagging to us- If you receive a new one please feel free to report it directly via: https://t.co/ScIX65iVYc Thanks! ^NV
1337149,"@115850 can you answer my simple question about product,?","@431893 Sure, Rhushikesh. Please let us know your concern and we will help you out accordingly. ^NK"
566588,@AmazonHelp what is the point of being an Amazon Prime member during the holidays when packages always seem to get delayed?!,@252842 Oh no! Have we missed the date given on the confirmation email? ^BA
84134,@AmazonHelp Thanks for getting back to me. Unfortunately I can't seem to find a list within that? Finding it hard to upload products when a Browse Node is required but I have no way of knowing which one to use.,"@134499 Hi there!  I'm not sure if this direct link will work, but please try it: https://t.co/2vnO0fc36x  If it doesn't open, let us know!  ^SP"
288151,"@AmazonHelp Oui je sais ça 🤡 mais L'application propose la livraison offerte si on choisit 5 produits listés. C'est pas claire, donc je me renseigne ☺️",@184650 Avez-vous un lien ou une capture écran de cette offre s'il vous plaît ? ^AR
140886,@AmazonHelp I saw your driver throw a package over an 8ft fence......,@147793 I'm sorry to hear that. Please fill out this short form: https://t.co/tkLCr7DNil and we'll be in touch. ^DC
1722512,@AmazonHelp Livraison prévue le 8 ou 9 alrs que le jeu est sorti aujourd'hui. Et qu'il était préco en prime le 20 septembre. Vraiment déçu du service😔,"@131402 Je suis désolé pour ce retard, avez-vous signalé cela à notre service?
^YL"
1949890,"@115850 it'd be better if u use more environmnt frndly packaging,like @77405 or similar instead of plstic bubble cushioning.",@579202 I understand your concern. Please provide your feedback on packaging here: https://t.co/BOC2qI06T6. ^VH
18729,@AmazonHelp  https://t.co/LzRfyE5m3q,@120177 Thanks for the information! Who is the carrier of the package? You can find that info here: https://t.co/Y5jpI9gRhE ^AD
2611552,@AmazonHelp I don’t think there is. I preordered a game due out today on the 7th November &amp; only got an email today saying you couldn’t obtain it &amp; will be in touch with a delivery date! Just frustrating when it’s a preorder!! x,"@738463 Thank you for confirming, Jess! I'm sorry about this unexpected delay. I can definitely understand your disappointment. Please keep us posted on delivery. ^SD"
423416,@AmazonHelp Today again same issue arises for delivery. The Courier guy denied to deliver the product today.,@215805 Sorry for the trouble you've had. Have you escalated this to our support here: https://t.co/2t6DQoUmNZ for assistance? ^MM
1173007,"My latest Amazon package is delayed ""due to weather or natural disaster."" Location: Hialeah.",@395895 I'm sorry to hear about the delay and any inconvenience this has caused! Have you been provided a new delivery date? ^KJ
1379552,"I am Frustrated and harrassed by Amazon India service and support
@AmazonHelp 
@115821 
@115850 
@56588",@122600 I'm sorry for any unpleasant experience you had with us. Kindly elaborate and we'll help. ^GK
866140,@AmazonHelp Sorry to bother you but i have a big problem with your french custommer service who don't respect french law. Can you help me ?,"@325662 Hello, sorry about that could you please tell us more about the issue to check it out ? 
^KE"
2789069,@AmazonHelp Yes I was told it wasn’t available near me but it would be delivered by the end of the day or earlier.. This is part of the email I received which I also sent back to amazon CS https://t.co/VzxnSSntDv,@135790 We'd like to have a specialist take a look into this for you. Please provide details here: https://t.co/GqFbQYu2V0
273168,.@115821 why does my brother pay for Prime if my packages aren't gonna get delivered in 2 days,"@181238 Two-Day Shipping refers to the transit time, in business days. You can learn more here: https://t.co/JLuASaNhhO ^AG"
240516,@AmazonHelp USPS. I think it will be here today,@173127 Thanks for confirming- Please keep us posted on this delivery. Thank you. ^NV
1953626,@AmazonHelp Dear team how much I have to wait for the resolution of my query,@485649 We've emailed you here: https://t.co/DTSNmGldJf Kindly check and write back to it for further assistance. ^SY
179509,@AmazonHelp I want it on my saving account.. can't trust Amazon at all.. @AmazonHelp @115850,"@158284 I understand your concern regarding the refund. As you've replied to our email, our team will get back to you soon. ^AP"
2827945,アマゾンで商品を注文したんだけと、配達業者がChina Postってところで全く届く気配が無いw  先月に注文したんだけどなぁ  プライムだったからアマゾンの倉庫から届くとおもってたけどどうも海外から届く感じだな,"@787636 ご心配をおかけしております。
該当のご注文は、出品者が発送の商品かとお察しいたします。
その場合は、Amazonで状況が把握できかねるので、下記ご参照のうえ、直接出品者にご確認ください。
https://t.co/ZXCXcbN3Tv TY"
246344,@121284 how do I start using this? I have an Echo Dot,@174520 You can check here: https://t.co/RzxjgAXrRO for the guide to use Echo Dot. ^SG
2036752,A veces la felicidad viene en paquete de @115821 ❤️📚🤓 https://t.co/cbqcLhF6in,@602179 ¡Nos encanta poder llevarte felicidad! 😊 Esperamos que lo disfrutes. 💞 ^JQ https://t.co/64uEGOGFbn
1119597,"@AmazonHelp It only states ""Delivered"" but no further info about the whereabouts of the return.","@384152 Please chose your order and click next to #2 'Where's my stuff? 
Next to #3 chose 'Phone' and you will be called back. ^AV"
2972815,@AmazonHelp USPS,@819922 I'm sorry your package did not arrive today. Please contact us so we can assist you directly here:  https://t.co/hApLpMlfHN ^BT
522600,"@AmazonHelp Opaaa! Obrigado vocês, por sempre estarem com os preços mais baratos que livrarias ♥Eu não trabalho (ainda) estou ainda na graduação e fazendo iniciação científica, pois meu maior sonho é ser cientista e professor 😍🤩👨‍🏫👨‍🔬🔬",@240712 Com certeza vai ser um cientista e professor maravilhoso! ❤️ Qual livro você está lendo no momento? ^AZ
2364648,@682700 @115821 I'm expecting like four games tomorrow from Amazon and I haven't gotten a shipping notification on any of them. I have to go to a big box stores for another game because they simply haven't made a (real) page for it yet.,@682699 We want to help! Many items ship and deliver the same day. Have we missed the delivery date in your confirmation email? ^SG
1061339,"findet es sehr vorteilhaft, dass @115821 auch bei Schreibwaren den Preis auf das Gewicht umrechnet. https://t.co/EIBQsPrGH2",@370606 Alles muss seine Ordnung haben! ;) ^SK
233139,@AmazonHelp No reason.,@171495 We'd like to look into our options with you. Please reach out to us by phone or chat here: https://t.co/qy3J24VGxb ^GR
166402,@AmazonHelp ESP when there was plenty of funds but somehow Amazon caused me to over draw,"@154653 Thank you for telling us what happened, we appreciate it. I'd like to have a member of my team look into this for you. When you have a few moments, please send us as much detail about this as you can, here: https://t.co/LwI9oogLA0 ^DW"
2288071,@AmazonHelp Ya pero a un no me dan respuesta,@663522 ¿Cuándo enviaste la información solicitada? ^JQ
2212118,アマゾンに注文したのに勝手にキャンセルされた時💢💢どこに問い合わせればいいの？,@646533 Amazonです。なんらかの理由によりキャンセルさせていただく場合、かならずその旨をご案内を差し上げておりますため、メールまたはアカウントサービス内のメッセージセンターをご確認いただけますでしょうか。SK
2813486,"@AmazonHelp I appreciate the apology but it has said ""arriving before 8pm"" since 11:52am if it's not gonna get here today why not say ""arriving tomorrow before 8pm"" I'm not asking for a miracle just some honesty. I beg you. And it's 8:01 now times up.",@784460 I'm understand your concern. Who is the carrier for your order? You can find out from the link provided by ^AM. ^GM
926333,@AmazonHelp At the weekend. Not every product on a Friday on prime is for delivery Monday,@339798 Hi George - not all items are available for delivery the Next Day - the Website will advise which ones are.  ^TD
1731650,"@AmazonHelp Got adr' ver' email. Uploaded document 2 days ago, spoke on phone, sent email and tweet and still no reply. Urgent order. HELP!","@523181 Hi Rhys, what has been advised by Customer service when you contacted? ^AT"
1373229,Thank you @115821 for not getting me Super Mario Odyssey on time. I preorder months in advance to play it today and it's not even here.,@439610 I'm really sorry you haven't received your game. What's the delivery date listed on the tracking for your order? ^AJ
789049,@AmazonHelp Browser. Wir probieren mal an und abmelden.,"@308159 Okay! Falls nicht...einfach mal zum Ende der 2. Staffel, dann geht's mit der dritten weiter ;) ^AS"
2133305,@115851 @115850 @115823 faster refund what a joke haven't got my refund since last one week https://t.co/U3ADpuPuM2,"@323710 If your original payment method is Amazon Pay, refunds will be reversed back to the same when an order is canceled. ^MJ"
1258938,@116313 なりすまし詐欺メール来てましたよー。アマゾンのアカウントに使ったアドレスではないけど。 https://t.co/vtygbupW6G,@414988 リプライありがとうございます。Amazonの名を騙るフィッシング詐欺が増えております。身の覚えのないメール、SMSを受信された場合は個人情報登録したりしないようご注意ください。　https://t.co/xWXio7AP2Z  SM
515242,@AmazonHelp No. Told rudely that you're very busy right now. Would have no problem if it said wasn't coming til next week but I've sat home for 2 days https://t.co/OmnvtitovD,@238677 I'm sorry to hear of this Jennifer. What I would suggest is if it hasn't arrived by Monday to let us know and we'd be happy to look into this further for you. ^KI
339144,@129773 any idea when dowry season 2 will be available to watch?,"@196975 I'm sorry, we don't have any further info on this. We recommend to keep checking the site &amp; social media for updates. ^GL"
2379670,#Amazon drivers are thieves. Delivery driver from @115830 just stole my wife’s iPhone and amazon are doing nothing about it. They refuse to contact their driver and allowing him to get away. @115821,@686206 Oh my! I'm so sorry to hear that! We would like a member of our team to directly assist you in this situation. Please provide your details about the incident here: https://t.co/PsjirR027l. We will get back to you as soon as possible! ^DY
2238601,"Badly need the 2nd season of ""THIS IS US"",can I expect it soon on @119625 ?",@652740 We haven't made any announcement surrounding the release of the season-2. Kindly stay tuned as we add more content to our library. ^GD
2325509,"@AmazonHelp No, she said she couldn't and also I was leaving the country.. How can I send it back if I'm not there?? Why I paid for 1 day shipping duh",@450737 Will you be returning from your trip within the return window? ^RR
2436002,"@AmazonHelp J'ai vu avec le service client par téléphone, merci","@698909 Parfait, j'espère que vous trouverez entière satisfaction auprès de notre service client. ^ASZ"
493405,@AmazonHelp But still no guarantee which is a little upsetting considering $650 was spent on this tv which I don't actually have yet,"@232628 Thank you for the update. We always aim to meet the delivery date provided during checkout, and on your order confirmation e-mail. Please let us know if you still haven't received it by the 6th. ^MB"
665578,@AmazonHelp Le 31/10,@242837 Avez-vous signalé cet incident à notre SAV s'il vous plaît?
2675349,"Yo @115830 
My last review of these candy canes was rejected 'cause of guidelines; there was no swearing or anything.
I even read it out&gt; https://t.co/xdz9ihdnGn",@471153 Try submitting your review again here https://t.co/7JPMqCCbzM ^KM
921427,"Hey, I saw the good reviews and bought the earphones. 2 months and gone. @115850 Feeling cheated.",@338741 Sorry about this experience. Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. ^HD
252846,"@AmazonHelp @115850 , I ws already in contact with them, but they couldnt help, afterall I had to cancel my order.. 😐😐 #WorstAmazon",@176088 Apologies for the trouble Praveen. I'll surely pass on your feedback to our team internally. ^PB
522444,@AmazonHelp hello? im waiting for a reply.,"@213865 Find information on storage space here:
https://t.co/LUoHTsu52p 
If you have any more questions please let us know! ^BT"
1485733,@AmazonHelp I was and it was delayed...,"@465021 I'd like to have a logistics specialist take a closer look into the delay for you, Risa! Please provide us as much detail as possible here: https://t.co/3PZfL7riW3 and we'll back to you shortly. ^CS"
141013,"@115850 i wanted to purchase this @8107 watch but on product description it says : warranty not applicable in india if sold by AMAZON EXPORT SALES LLC
now @AmazonHelp kindly explain the expression &amp; why i should purchase via globle store if warranty is void in india https://t.co/jG3DBXoNiY",@147797 I understand that you're concerned about the warranty of the product. Warranty related clauses in the global store are determined by the manufacturer. Appreciate your understanding. ^BV
1304228,"@AmazonHelp Yup, restarted, deleted and redownloaded too! I’m using an iPhone 6s that’s updated.","@424766 Make sure your phone is set to ""Trust"" the app. Most issues are covered here: https://t.co/lFib2I4Fxi ^CH"
1140943,@AmazonHelp @130687 Voy a ello,"@388565 Por favor mantennos al tanto de la entrega, Gema. ^LG"
2898908,@115850 I don't see this much often. Is this site a joke? ₹3700 delivery charge for a ₹5000 product. Customer care says to visit website for help and then  disconnects. What a horrible service!!!! @118702 https://t.co/PnhjxEF9yx,"@803122 Thank you for flagging this, Anoop! However, I see that the error has been rectified now. ^RI"
2478907,"@AmazonHelp Hello,
I do not want to contact the seller.
I want to contact amazon.de
Please send me an email address.
fredrik","@708451 This is our contact form. If you use a mobile device, please scroll down to the bottom of the page. There should be a button available, which leads you to our contact form. ^KM"
2318861,"@AmazonHelp Yes it says that the book has been delivered but not in  Rome , in another city called Piacenza",@672171 I'm sorry! From Twitter we cannot check your order so I'd suggest you to get in touch with our Customer Service here: https://t.co/YtcS8zMWhk. My colleagues will be able to double-check your order and provide you with the necessary support. See you soon! ^LF
1443096,"@AmazonHelp I decided to go the extra mile, unlike your own @115821 delivery driver, and provide some carrier feedback. Next time, I'll make sure not to choose ""deliver in flower bed"" as a delivery location.",@454848 Thank you so much for taking the time to complete the feedback. These are reviewed to help us improve our services for the future. ^EP
1302318,"You're NOTHING if not consistent, @115821 ! My package didn't arrive on time AGAIN! They said to let them know if its not here by the 29!!!",@424348 I'm sorry your package didn't arrive on time! Are the late packages occurring with the same carrier:https://t.co/Y5jpI9ys9c ^AR
1563232,"@AmazonHelp Not that you are interested, but after chasing again I've been told my order isnt coming today, but asap tomorrow...  🙄🙄🙄",@458833 Thanks for keeping us updated. Please let us know if you don't receive the order by 8 PM tomorrow. ^LI
286787,@AmazonHelp Aĺleged I had never used my Prime Account  when I have been using it several times a month for several years. Totally inadequate response,@178445 Have you had a chance to contact an Account Specialist by phone: 08081453760 or e-mail: https://t.co/v1XnpfmiFp? ^AF
128009,@AmazonHelp Oh my God 4 Ur awsm resolution..I m so excited 4 u continuing perpetual harassment...Means (NO) You hv looted my money #digitalmafia  in #DigitalIndia @127586 @120844 @4211 @4871 @144772 @144769 @734 @120319 @144770 @144771 @115851 https://t.co/EvWpSISVmG,"@144768 As informed earlier, I request you to wait until the time frame given to you by our team. Please reply to the email sent for further assistance. 
Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^PJ"
724585,@AmazonHelp I mean I would return it if I could but https://t.co/tYZcugMGiT,@293547 Please reach us by phone or chat so we can explore options to take care of this for you: https://t.co/hApLpMlfHN ^MV
1993277,"@AmazonHelp Yes, but I'm not sure how a link to my orders page is supposed to help me...?",@589901 Just looking to confirm the delivery date! Apologies. Have you been able to contact us here: https://t.co/hApLpMlfHN? ^BL
2179002,"Salut @120533, ça prends combien de temps le remboursement quand on se désinscrit de l’abonnement prime ?","@638612 Bonjour, le remboursement est finalisé sous 5 à 7 jours ouvrés. ^FA"
1482336,"Amazon使ったことある人〜🤚🏻

どんくらいで届く？？🤔",@464185 こんにちは、Amazonです。お届けにかかる日数は商品やお届け先、配送オプション等によって異なります。ご注文確定の画面でお届け予定日が表示されますので、ご確認いただければと存じます。 YM
2551980,@115850 Yes done and have send images also but I am not getting that what action will be taken..@AmazonHelp,@724931 Sorry for the hassle. I’d like to help you with this. Please fill this form:https://t.co/beaaDm0muc and we’ll contact you soon.^RI
